City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,mendoza,-32.8908,-68.8272,53.13,26,0,4.61,AR,1691507071
163,praia,14.9215,-23.5087,86.54,51,20,17.27,CV,1691507073
164,lamar,33.6668,-95.5836,73.98,86,0,16.11,US,1691507074
165,tarakan,3.3,117.6333,81.91,79,59,9.31,ID,1691507075
166,kone,-21.0595,164.8658,60.64,85,10,5.53,NC,1691507075
167,yeniseysk,58.4497,92.1703,60.51,90,90,2.13,RU,1691507075
168,oamaru,-45.0784,170.9801,37.38,75,99,6.76,NZ,1691507078
169,heidelberg,-26.5048,28.3592,72.72,15,0,1.88,ZA,1691506871
170,leulumoega,-13.823,-171.9613,73.29,94,20,4.61,WS,1691507080
171,saipan,15.1355,145.701,81.3,100,75,1.01,MP,1691507081
172,iaciara,-14.0958,-46.6317,93.09,17,0,3.31,BR,1691507081
173,sandnessjoen,66.0217,12.6316,82.51,47,40,16.11,NO,1691507081
174,bathsheba,13.2167,-59.5167,88.41,74,40,12.66,BB,1691507082
175,merritt,50.1123,-120.7942,61.97,83,100,4.36,CA,1691507082
176,thompson,55.7435,-97.8558,50.16,93,100,6.91,CA,1691506896
177,taroa,8.7058,171.2275,82.24,77,100,16.08,MH,1691507083
178,rundu,-17.9333,19.7667,83.14,19,5,7.72,NA,1691507083
179,longyearbyen,78.2186,15.6401,53.44,54,20,16.11,SJ,1691507083
180,sungai raya,0.7,108.9,79.27,87,46,3.56,ID,1691507083
181,atafu village,-8.5421,-172.5159,82.33,73,30,12.3,TK,1691507084
182,turpan,42.9333,89.1667,93.94,27,96,11.03,CN,1691507084
183,trincomalee,8.5711,81.2335,83.43,77,95,3.65,LK,1691507084
184,port elizabeth,-33.918,25.5701,64.69,72,40,23.02,ZA,1691507084
185,ust-nera,64.5667,143.2,52.34,59,65,3.49,RU,1691507084
186,nejo,9.5,35.5,61.88,96,100,4.54,ET,1691507085
